发生时间,开关机状态,加热中,保温中,实际温度,热水量,水流量,加热剩余时间,当前设置温度
20141019070156,关,关,关,30°C,0%,8,0分钟,50°C
20141019073816,关,关,关,30°C,0%,8,0分钟,50°C
20141019094638,关,关,关,29°C,0%,16,0分钟,50°C
20141019094640,关,关,关,29°C,0%,13,0分钟,50°C
20141019094715,关,关,关,29°C,0%,20,0分钟,50°C
20141019115017,关,关,关,29°C,0%,22,0分钟,50°C
20141019135621,关,关,关,29°C,0%,8,0分钟,50°C
20141019153439,关,关,关,29°C,0%,36,0分钟,50°C
20141019153440,关,关,关,29°C,0%,32,0分钟,50°C
20141019153445,关,关,关,29°C,0%,31,0分钟,50°C
20141019153447,关,关,关,29°C,0%,32,0分钟,50°C
20141019153449,关,关,关,29°C,0%,31,0分钟,50°C
20141019153453,关,关,关,29°C,0%,32,0分钟,50°C
20141019153459,关,关,关,29°C,0%,42,0分钟,50°C
20141019153503,关,关,关,29°C,0%,43,0分钟,50°C
20141019153505,关,关,关,29°C,0%,40,0分钟,50°C
20141019153515,关,关,关,29°C,0%,32,0分钟,50°C
20141019153517,关,关,关,29°C,0%,31,0分钟,50°C
20141019153521,关,关,关,29°C,0%,32,0分钟,50°C
20141019153524,关,关,关,29°C,0%,31,0分钟,50°C
20141019153532,关,关,关,29°C,0%,30,0分钟,50°C
20141019153534,关,关,关,29°C,0%,28,0分钟,50°C
20141019153540,关,关,关,29°C,0%,30,0分钟,50°C
20141019153542,关,关,关,29°C,0%,31,0分钟,50°C
20141019153546,关,关,关,29°C,0%,30,0分钟,50°C
20141019153548,关,关,关,29°C,0%,28,0分钟,50°C
20141019153604,关,关,关,29°C,0%,30,0分钟,50°C
20141019153606,关,关,关,29°C,0%,31,0分钟,50°C
20141019153608,关,关,关,29°C,0%,30,0分钟,50°C
20141019153610,关,关,关,29°C,0%,31,0分钟,50°C
20141019153620,关,关,关,29°C,0%,30,0分钟,50°C
20141019153622,关,关,关,29°C,0%,31,0分钟,50°C
20141019153632,关,关,关,29°C,0%,30,0分钟,50°C
20141019153634,关,关,关,29°C,0%,31,0分钟,50°C
20141019153638,关,关,关,29°C,0%,30,0分钟,50°C
20141019153640,关,关,关,29°C,0%,31,0分钟,50°C
20141019153650,关,关,关,29°C,0%,30,0分钟,50°C
20141019153652,关,关,关,29°C,0%,31,0分钟,50°C
20141019153654,关,关,关,29°C,0%,25,0分钟,50°C
